text,label
3500-1544-9487-8357,1
8988-6353-8053-4738,1
42572746423647641952,0
2349-0587-8645-3397,1
89154072731003,0
8276730870309945,0
97978631787531432,0
8407-8902-6926-0927,1
8219-5873-6874-8015,1
8659-9047-1668-7180,1
0594-4699-6300-3237,1
8629-1039-2977-8106,1
5573099307118,0
0113-8086-0108-0254,1
5572300591654036,0
57511135381790586931,0
236363594746935,0
80390392681731,0
30869125948949259669,0
8298-6060-1748-4043,1
3026-2691-9755-0604,1
47777936857,0
0212887737132,0
0486-2606-8056-2309,1
6761-5930-2052-3866,1
89976895764015973784,0
007762261764,0
912356091317835477,0
268985802100903,0
9320431342245,0
0752-4592-6423-4503,1
1020523403833,0
1746-8254-7048-1696,1
0981-1216-1720-7381,1
886260545425073,0
9204-1901-6846-5190,1
4859-9417-2710-1193,1
5826-4760-3523-7667,1
913276162204690214,0
5168-8794-7597-2535,1
9926-2716-8290-7625,1
5305-6356-2368-7700,1
6433-6611-0530-8749,1
5814-9876-4989-0337,1
8646-8756-2617-5255,1
362647275952026195,0
22169806293,0
246876015755,0
12985138483634,0
0735-0511-4975-8867,1
43261199892,0
664934644983394,0
9418-0112-2091-1332,1
2088-7029-4003-0639,1
08467882091259,0
2782-1864-8368-2639,1
7947-2459-3213-1511,1
7817-7648-7404-3980,1
51164857300265189,0
2138046499,0
8469-8022-7087-7661,1
6631-2631-6309-0091,1
45777568764701,0
296868188136834,0
7533-1901-2503-3474,1
5723691312270,0
2800-7966-3519-2156,1
6622-2943-5041-9316,1
9962-7781-2370-8593,1
6790838952028,0
5361-3911-9603-4184,1
1347-5082-7771-4917,1
9062-2602-8951-4058,1
686930893183,0
3704-2106-8853-8672,1
65263180017,0
40985117598265,0
4906-0319-2336-8997,1
71216578940774402,0
0848-7481-3707-0233,1
5851-0923-9450-1718,1
31654805910426574454,0
2754040327,0
1600221621,0
0013-9531-6994-2023,1
58606297429883619885,0
8555-1597-3658-0550,1
797594584365,0
3438-9027-5987-1028,1
050112682937901642,0
6582-2717-7944-2986,1
2124-7099-3612-8898,1
7009-4631-1720-8478,1
6385-3448-4008-2829,1
7558817524663102,0
795406099396600921,0
4700-6676-4148-8573,1
6668714095,0
106551438654632395,0
46534895586791,0
217395463768526572,0
6257900458834160706,0
0405-0471-0232-0972,1
67086879844088,0
48253988494837,0
7112-9481-0556-7921,1
7565-0138-5868-2396,1
8058-8060-8583-4746,1
79814309395264358141,0
450957697988626,0
7561-1694-1571-0293,1
1847-3165-4655-8148,1
0678-0563-1844-6770,1
1197-0584-3840-4716,1
7681-1118-0064-6552,1
2055654051010948,0
9536-3219-0957-6338,1
1263-8230-4859-5342,1
290683372990,0
9381-3910-0485-4952,1
4137923618407,0
2762-6561-3298-0984,1
07310160134409402,0
1001-3841-5788-9220,1
918910907692,0
61758723160,0
7511-6590-3280-8766,1
9031405948432425034,0
83298166072,0
2611-7810-2289-4389,1
5553420514,0
8437-9043-4697-3868,1
8046-3285-2704-1538,1
0608976862219782499,0
114496944696753580,0
45240119808419686527,0
3089-2210-8903-3921,1
7206-9375-2591-2669,1
9217-4636-8465-1398,1
5370254597722,0
2891369885,0
7474332125410914923,0
356576945549231,0
77524224761,0
9623-7274-2014-9381,1
3321-9281-9782-8404,1
485712043284948543,0
1422-4823-8183-6344,1
888639818784525,0
70880729601,0
0842-6358-2149-1990,1
7528-6466-1080-5477,1
5938347521,0
8440-1603-9983-0395,1
2007-0401-9954-0070,1
569350398319344212,0
05302281912695,0
0776-4924-0596-5989,1
30147449280680440707,0
2213-6254-2245-7096,1
7912-8278-1429-1621,1
6953753756674342925,0
432038376920699,0
1070036219075558232,0
1353-0756-0371-2152,1
40028144427,0
5129-8011-7389-8972,1
9516-9300-2256-2688,1
46852411829070,0
9402-5473-7701-8440,1
4694-2346-1453-1732,1
5739-8716-6391-7111,1
3178903553184856,0
0271296282031,0
6321-5247-6998-3596,1
6470-9862-7155-9154,1
847578916112074109,0
44593008115,0
8490-0850-6957-7616,1
538894704792045,0
3464733091125,0
977974358721,0
2448742651545795,0
532352952145,0
433684380657,0
0922-4676-6207-2678,1
3619-4616-4987-3705,1
4432-4083-6971-9813,1
5512-5145-9048-9507,1
807567261569059,0
396157269445155,0
7769025915,0
7690517576232698,0
2674-2025-1053-8687,1
62916700802134,0
18326297202852463412,0
2104372722,0
8350-0506-1012-0074,1
2940-2843-0725-9916,1
6366-7020-5933-7094,1
