text,label
hcouxesqbx,0
ucechpfvh@tcs.com,1
pajmfr,0
zrjxxnk@tcs.com,1
vvibvw,0
yygupl@abs.com,1
wlodhsl@gmail,1
kvhix,0
gabhxmkzkw@google.com,1
hlklg,0
yufpsqm@yahoo.com,1
pupovxmgwb@abs.com,1
exuomqqt,0
zjamlhuwmh,0
cjfuw@yahoo.com,1
dyvyuxzle@abs.com,1
fpmqarvfew,0
admyloc@gmail,1
jkcfz@google.com,1
vwhjat@tcs.com,1
cwpdtzb,0
nllytrffsl,0
xmfqe@abs.com,1
urqpwfdh@google.com,1
gaqvswxnl,0
nkttarab@tcs.com,1
xhahtsu@tcs.com,1
dybksupglj,0
yokzdr,0
uhpgiei,0
rdhhnlbfmq@yahoo.com,1
nobjtm@yahoo.com,1
zzyzfpd@google.com,1
dsgafflq@tcs.com,1
kdaabdd@yahoo.com,1
xvgdkle@google.com,1
uxogxpb,0
yhrjx@gmail,1
tmymbuyfws,0
boamtov@abs.com,1
pngbqj,0
wjvhh@gmail,1
vyykabiosq,0
qazhjvtbg@abs.com,1
mycwfpteht,0
amvrrfxx@gmail,1
xwaluikiyg@abs.com,1
ojice,0
syjmd,0
hjdajc,0
elgzzbfe@tcs.com,1
atopougrnk@abs.com,1
cadut,0
fnsiiik@google.com,1
rzdrdp,0
zjtpbfcayn@tcs.com,1
rqgdilrmas@gmail,1
carajzkknb,0
trmdclvuik@tcs.com,1
eplpp@yahoo.com,1
jtmtin@yahoo.com,1
ihxot@abs.com,1
filvwmpc,0
jlkilpic,0
irsnw@google.com,1
gfirwgvm,0
pjmmbc@yahoo.com,1
sxmumitddb@yahoo.com,1
qyfvydxg@tcs.com,1
bjpyszie,0
aoksfado@tcs.com,1
tpzgegkvf@abs.com,1
uzynhp,0
dhtel,0
rhgdftdr,0
ytavcob,0
mhrwmpjurs@yahoo.com,1
sjyseqfxbs@gmail,1
ktmguvlq,0
cxqynztl@gmail,1
utjywv@abs.com,1
ppdoyvef@abs.com,1
fyelcpv@tcs.com,1
ypwyxixbjb,0
ukewutm@tcs.com,1
kxrcoj@google.com,1
inwojqbi@yahoo.com,1
xtysp@google.com,1
wuqox,0
wdswu,0
qcjbzgh,0
bfywsym,0
irqsvb@abs.com,1
bkngnchjsj,0
ywwjr@google.com,1
xedzstofpq@abs.com,1
slqooza,0
qfedmal@gmail,1
iwqzghcokd@google.com,1
rfcsbbyg@tcs.com,1
tvfgnprp,0
aqgclpyb,0
cavcgng@tcs.com,1
kyurgecg@abs.com,1
aaqrp,0
iajdxcfqv,0
klify@yahoo.com,1
psteyzwq@google.com,1
zxqkjoyjrg@gmail,1
jixnw,0
rpfijnl,0
kwxrjyf,0
gamekkbcs@gmail,1
odmpmtoh,0
zaxlezf@tcs.com,1
dedgm,0
coynpj@yahoo.com,1
vcnpjv@gmail,1
mllneki@yahoo.com,1
pjfwycpgs@yahoo.com,1
qaarfhvue@yahoo.com,1
qfbqqltq,0
fvabgzyao@yahoo.com,1
sbruxwlbsd@google.com,1
cndaue@yahoo.com,1
nytfgrbstl,0
vvqxshvl,0
rtlxmt@tcs.com,1
dosvyqhkw@google.com,1
oaadah@tcs.com,1
wsksclcpr,0
bmkfza@tcs.com,1
iwygvlg,0
tyqnf,0
lkxhnzntb,0
mkqnvqiems,0
fawpikw,0
baxanizegi@yahoo.com,1
tcoxqr@abs.com,1
adhpajvpha,0
vdzzj,0
zspewos,0
isvlhdzxy,0
boezkgq@abs.com,1
owuyvsn@yahoo.com,1
lmvuddscas,0
timdphh,0
alaahijjv,0
tyxugru,0
zfjzxfdxy@gmail,1
fiyfwzig@tcs.com,1
fauxski@gmail,1
xmjgicy,0
cfkiyzyaug@gmail,1
nhgkyxej,0
nppzalqigb,0
bcxglormy@tcs.com,1
jcoewpza,0
ygrkd,0
ikgmvadqf,0
bopbqp@yahoo.com,1
tfcetcutgu@google.com,1
jechygbuo@yahoo.com,1
vfazzw,0
ykmxactft,0
icsspu,0
btazcengzl,0
onnjirdy@abs.com,1
psicgb,0
liiepsro,0
unnzs,0
lnlofzdsmk,0
zxqkhkwexs@yahoo.com,1
ywqcms,0
syyqnygywn@google.com,1
xcwvgah,0
azrzyrejm,0
lotvnpy,0
nabsi,0
jsqxozu@abs.com,1
vdbidjy,0
anlvld,0
hdkct,0
nuanophi,0
tlxwocwjn@google.com,1
oowpfdgp,0
ljrzkpb,0
thrixphtek@yahoo.com,1
amqbr@google.com,1
ybseet,0
wijhms,0
dyvcwjrxjc,0
helttg@google.com,1
xpfvd@google.com,1
orqsi@tcs.com,1
itnsruhhi,0
szhxnjq,0
tjezgwnv,0
qfzub,0
hbowscws,0
